mocperkgCO2,mocomp,coins_allocated,coins_needed,market_delta,crowdfunding,coins_consummed,market_delta_wi_crowd,ratio_of_less_consumption,updated_mocomp,day_num,cardem,busdem,bikedem,flows_car,flows_bus,flows_bike,mocos_car,mocos_bus,mocos_bike,emissions_car,emissions_bus,total_tt,total_tt_c,total_tt_b,total_tt_r,total_dist_car,total_dist_bus,total_dist_rad
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,5431.655029042213,649608.3449709578,5431.655029042158,0.9917102241809227,9.709304034404774,1,264715.9185442216,555652.6329871138,252463.56898758674,575924.690655116,1.3660964140909936e6,621787.9227497175,319195.6096388987,330412.73533205915,0.0,322257.565771831,332912.2950792817,4.310134509890442e7,2.9426607448280104e6,7.271925231661838e6,3.2886759122414578e7,2.1922283385838857e6,5.121727616604336e6,2.406397121607645e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,6768.24354852676,648271.7564514732,6768.243548526778,0.989669750854868,9.68932685214559,2,264171.25765679585,554509.3611436691,251944.11767433118,574739.708449181,1.3632856300274595e6,620508.5755776323,318538.85516427393,329732.90128719923,0.0,321594.51123125706,332227.3181157882,4.30126627975154e7,2.936606132693292e6,7.256963028890836e6,3.281909363593127e7,2.1877177634779406e6,5.111189509473666e6,2.401445887851241e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,8433.726894022606,646606.2731059773,8433.726894022664,0.9871271775109169,9.664433877338778,3,263492.5718655246,553084.7639794158,251296.84478636962,573263.1372382789,1.3597831953010214e6,618914.4189788337,317720.4928757896,328885.78023018775,0.0,320768.2986172904,331373.7886202733,4.290215840977711e7,2.929061659935365e6,7.238319071409709e6,3.273477767843204e7,2.1820972695053783e6,5.098058286465744e6,2.3952763021928766e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,10509.033727253247,644530.9662727468,10509.033727253205,0.9839589561960888,9.633415518100469,4,262646.88267622655,551309.6179009086,250490.29823579363,571423.2279218489,1.3554189206654462e6,616927.9901792462,316700.7571612639,327830.2091114829,0.0,319738.78085711383,330310.2321462945,4.276446233998727e7,2.919660727821579e6,7.215087417689675e6,3.262971419447602e7,2.1750937473273063e6,5.081695879173763e6,2.387588573996956e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,13095.004771835185,641944.9952281648,13095.00477183517,0.980011140648149,9.594764568970287,5,261593.09741362208,549097.6672218966,249485.2873176489,569130.5779190836,1.3499807427259302e6,614452.7671059135,315430.0982935414,326514.8969346234,0.0,318455.93290659884,328984.9696829577,4.259288383230464e7,2.9079465379730887e6,7.186139224161953e6,3.2498798070169598e7,2.1663668905210816e6,5.061307225891658e6,2.3780091507546003e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,16317.291272205559,638722.7087277945,16317.291272205533,0.9750919081715399,9.546602996600935,6,260280.01309541444,546341.4341900538,248232.97897450352,566273.7883314885,1.3432044227057085e6,611368.4797117001,313846.7754931502,324875.9332346443,0.0,316857.42172387196,327333.6072850667,4.237908595927053e7,2.893349902836493e6,7.150067910289386e6,3.2335668146144643e7,2.1554926647882457e6,5.0359016505394885e6,2.366072572323126e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,20332.458055623272,634707.5419443768,20332.458055623225,0.9689622425326464,9.48659072097232,7,258643.82942965784,542906.9986376778,246672.5259044812,562714.0531378591,1.3347607119879078e6,607525.2682857962,311873.85808967665,322833.6838547001,0.0,314865.5786636509,325275.90836641524,4.2112680685228854e7,2.8751615994241824e6,7.105120838922913e6,3.2132398246881757e7,2.1419427119976263e6,5.004244744098697e6,2.3511988628561962e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,25335.58718344221,629704.4128165578,25335.5871834422,0.9613243260136133,9.41181196820314,8,256605.05032080086,538627.494079941,244728.11148078504,558278.4180085481,1.3242393619873112e6,602736.4054398698,309415.4893442325,320288.9234723253,0.0,312383.6274595832,322711.8969687558,4.178072436603756e7,2.8524979255355773e6,7.049114198577991e6,3.1879112241923995e7,2.1250586902012476e6,4.964798414903937e6,2.3326653639788795e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,31569.750770841434,623470.2492291585,31569.750770841492,0.9518070779414434,9.318633686029159,9,254064.6236880932,533295.004990741,242305.26823821914,552751.3819669669,1.3111292032469958e6,596769.22897562,306352.2318256464,317118.0174035121,0.0,309290.9849499053,319517.0031164092,4.1367089229937926e7,2.8242577888324438e6,6.979326961636717e6,3.1563504479468763e7,2.10402030578167e6,4.915646201790911e6,2.3095716438496844e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,39337.81187676736,615702.1881232327,39337.811876767315,0.9399481391201553,9.202529163020545,10,250899.13259352496,526650.4727273732,239286.29157928572,545864.4350487891,1.2947933287105942e6,589333.846385111,302535.26885154995,313166.91927168274,0.0,305437.4068945396,315536.0150778311,4.085168039156955e7,2.7890692499893117e6,6.892368781381508e6,3.117024236019873e7,2.0778054890785022e6,4.854400231966633e6,2.2807957821624274e6
