day_num,mocperkgCO2,coins_allocated,coins_needed,crowdfunding,coins_consummed,market_delta,mocomp,cardem,busdem,bikedem,flows_car,flows_bus,flows_bike,mocos_car,mocos_bus,mocos_bike,emissions_car,emissions_bus,total_tt,total_tt_c,total_tt_b,total_tt_r,total_dist_car,total_dist_bus,total_dist_rad
1,1.0,327520,327519.23350769375,300.92473902194797,327219.0752609781,300.9247390219243,4.8907461121172195,133342.03407866185,279891.9412596211,127170.31149730315,290103.3309609918,688126.6362983341,313205.44242654886,160784.40651508886,166434.6687458892,0.0,162326.7673268986,167693.74067034593,2.1710900721877776e7,1.4822696401359357e6,3.662995816006245e6,1.6565635265735593e7,1.104263723312236e6,2.579903702620707e6,1.2121442819185706e6
2,1.0,327520,327519.23350769375,374.9752204667702,327145.0247795332,374.9752204667893,4.8896393242444836,133311.85844842854,279828.60102498997,127141.5325430678,290037.6798637589,687970.9115482649,313134.5632646774,160748.02060848556,166397.00417104765,0.0,162290.03238025054,167655.79116443152,2.1705987491651896e7,1.4819341988711024e6,3.662166871044863e6,1.656188642173593e7,1.1040138257159907e6,2.579319864068178e6,1.2118699706866075e6
3,1.0,327520,327519.23350769375,467.24775006063516,327052.75224993937,467.2477500606328,4.888260182411122,133274.25731904505,279749.67427717627,127105.67177816057,289955.87360545923,687776.8666706503,313046.24244037276,160702.68100260664,166350.0712473327,0.0,162244.25784393997,167608.50319493777,2.1699865233260415e7,1.4815162135530813e6,3.661133942602152e6,1.6557215077105181e7,1.1037024343125173e6,2.5785923568451973e6,1.2115281580369747e6
4,1.0,327520,327519.23350769375,582.2263209725355,326937.77367902745,582.2263209725497,4.886541667076355,133227.4034597197,279651.3255626641,127060.98654498241,289853.93680246547,687535.0720344883,312936.1879939952,160646.18441459056,166291.5892644369,0.0,162187.21929961577,167549.57879807072,2.169223643492028e7,1.480995372141886e6,3.659846835413047e6,1.6551394227365347e7,1.1033144170041895e6,2.577685827662627e6,1.2111022335484256e6
5,1.0,327520,327519.23350769375,725.498316797129,326794.50168320286,725.4983167971368,4.8844002669883695,133169.02000718252,279528.77562572196,127005.30536464987,289726.9158358883,687233.7776295583,312799.05182977923,160575.78539277156,166218.7162904313,0.0,162116.1449592457,167476.15454279474,2.1682730375180054e7,1.480346364349406e6,3.658243002504352e6,1.6544141008326294e7,1.1028309180901074e6,2.5765562237353045e6,1.2105714994206573e6
6,1.0,327520,327519.23350769375,904.0260214457836,326615.9739785542,904.0260214458103,4.881731921089771,133096.2698251882,279376.0691681816,126935.92241748224,289568.63813845854,686858.3420936319,312628.16983374866,160488.06290588554,166127.91107266865,0.0,162027.5809745489,167384.6623870213,2.16708851083091e7,1.4795376517267912e6,3.65624450582549e6,1.653510295075682e7,1.1022284420037346e6,2.5751486521080206e6,1.2099101646980976e6
7,1.0,327520,327519.23350769375,1126.484936430531,326393.5150635695,1126.4849364305264,4.878406961893246,133005.61763995318,279185.7854644705,126849.46605948602,289371.4122518333,686390.5212468157,312415.23804536206,160378.75410537847,166014.760958191,0.0,161917.22360463176,167270.65629624098,2.165612501703362e7,1.478529935121039e6,3.6537542290157643e6,1.6523840852896819e7,1.101477711596135e6,2.5733947122498616e6,1.2090860920136264e6
8,1.0,327520,327519.23350769375,1403.6853425922438,326116.31465740775,1403.6853425922454,4.8742638146527275,132892.6582534151,278948.67777221056,126741.73498674629,289125.6540816926,685807.5815666626,312149.90914977907,160242.54718420524,165873.76747320252,0.0,161779.7100877378,167128.59620091334,2.1637732842025362e7,1.4772742450425825e6,3.6506511583064673e6,1.650980743867631e7,1.1005422454948155e6,2.5712091723217443e6,1.208059235963115e6
9,1.0,327520,327519.23350769375,1749.0975866115102,325770.9024133885,1749.0975866115186,4.869101146222815,132751.90248856103,278653.2240202058,126607.4940882538,288819.42119332944,685081.1955348469,311819.289687508,160072.82326877216,165698.07914461632,0.0,161608.35805723022,166951.57879681874,2.1614814829277962e7,1.4757095621700066e6,3.6467845022943425e6,1.6492320764813613e7,1.0993765854233354e6,2.568485827643366e6,1.206779697243807e6
10,1.0,327520,327519.23350769375,2179.506610064057,325340.49338993593,2179.506610064069,4.862668082207852,132576.51046831525,278285.06694680254,126440.22006995259,288437.83252439357,684176.0651927217,311407.3135565098,159861.33480545637,165479.15858447956,0.0,161394.84084296128,166731.00211098994,2.1586257302273992e7,1.4737598523989748e6,3.64196636493233e6,1.6470531084942687e7,1.097924087367084e6,2.5650923401690763e6,1.2051852980290053e6
11,1.0,327520,327519.23350769375,2715.8275145211064,324804.1724854789,2715.827514521079,4.854652017202387,132357.9592721108,277826.3164935569,126231.78449379337,287962.345327558,683048.2070454968,310893.96137485874,159597.80481944935,165206.36766602958,0.0,161128.7828859155,166456.14753964086,2.155067254945221e7,1.4713303724140052e6,3.635962615830919e6,1.6443379561207289e7,1.0961141692919428e6,2.560863808302168e6,1.2031985608038225e6
12,1.0,327520,327519.23350769375,3384.12177426338,324135.8782257366,3384.121774263389,4.844663426072795,132085.62882839792,277254.68057183456,125972.05883716559,287369.8542245905,681642.8150137297,310254.28778881615,159269.42758213697,164866.45064359962,0.0,160797.25561562853,166113.6590578941,2.15063313987577e7,1.468303066346646e6,3.628481514445418e6,1.6409546817965634e7,1.0938588817389703e6,2.555594754736833e6,1.2007229439256205e6
