Day,AllocatedMoCos,ConsumedMoCos,Crowdfunding,TotalDemand,EmissionsCar,EmissionsBus,EmissionsTotal,MarketDelta
1,645860.0,645870.2,349860.91,1.0818e6,558663.62,93201.27,651864.89,10.2
2,1.29172e6,1.2917404e6,561606.87,1.0818e6,558663.62,93201.27,651864.89,10.2
3,1.93758e6,1.9376106e6,676114.81,1.0818e6,558663.62,93201.27,651864.89,10.2
4,2.58344e6,2.5834808e6,723515.36,1.0818e6,558663.62,93201.27,651864.89,10.2
5,3.2293e6,3.22935101e6,725838.08,1.0818e6,558663.62,93201.27,651864.89,10.2
6,3.87516e6,3.87522121e6,699033.03,1.0818e6,558663.62,93201.27,651864.89,10.2
7,4.52102e6,4.52109141e6,654510.99,1.0818e6,558663.62,93201.27,651864.89,10.2
8,5.16688e6,5.16696161e6,600313.27,1.0818e6,558663.62,93201.27,651864.89,10.2
9,5.81274e6,5.81283181e6,541996.87,1.0818e6,558663.62,93201.27,651864.89,10.2
10,6.4586e6,6.45870201e6,483301.79,1.0818e6,558663.62,93201.27,651864.89,10.2
11,7.10446e6,7.10457221e6,426651.67,1.0818e6,558663.62,93201.27,651864.89,10.2
12,7.75032e6,7.75044241e6,373527.83,1.0818e6,558663.62,93201.27,651864.89,10.2
13,8.39618e6,8.39631261e6,324746.81,1.0818e6,558663.62,93201.27,651864.89,10.2
14,9.04204e6,9.04218282e6,280665.15,1.0818e6,558663.62,93201.27,651864.89,10.2
15,9.6879e6,9.68805302e6,241329.21,1.0818e6,558663.62,93201.27,651864.89,10.2
16,1.033376e7,1.033392322e7,206583.78,1.0818e6,558663.62,93201.27,651864.89,10.2
17,1.097962e7,1.097979342e7,176149.85,1.0818e6,558663.62,93201.27,651864.89,10.2
18,1.162548e7,1.162566362e7,149679.6,1.0818e6,558663.62,93201.27,651864.89,10.2
19,1.227134e7,1.227153382e7,126794.42,1.0818e6,558663.62,93201.27,651864.89,10.2
20,1.29172e7,1.291740402e7,107110.67,1.0818e6,558663.62,93201.27,651864.89,10.2
