mocperkgCO2,mocomp,coins_allocated,coins_needed,market_delta,cardem,busdem,bikedem,flows_car,flows_bus,flows_bike,mocos_car,mocos_bus,mocos_bike,emissions_car,emissions_bus,total_tt,total_tt_c,total_tt_b,total_tt_r,total_dist_car,total_dist_bus,total_dist_rad
1.0,1.0,322930.0,644210.2838437996,321280.2838437996,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,315002.12371730077,644210.2838437996,329208.16012649884,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,313362.7722508456,644210.2838437996,330847.511592954,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,311398.1595066516,644210.2838437996,332812.12433714804,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,309047.84754137526,644210.2838437996,335162.43630242435,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,306241.4422634407,644210.2838437996,337968.8415803589,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,302897.3764075408,644210.2838437996,341312.9074362588,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,298921.702222164,644210.2838437996,345288.5816216356,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,294206.9737946398,644210.2838437996,350003.3100491598,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,288631.3380471067,644210.2838437996,355578.9457966929,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,282058.0070435059,644210.2838437996,362152.2768002937,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,274335.3571410339,644210.2838437996,369874.9267027657,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
1.0,1.0,265297.9989721645,644210.2838437996,378912.2848716351,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,7.189840094315523e6,3.091300168140466e7,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6
