mocperkgCO2,mocomp,coins allocated,coins consumed,market delta,cardem,busdem,bikedem,flows car,flows bus,flows bike,mocoscar needed,mocosbus needed,mocosbike needed,car emissions,bus emissions,total_tt,total_tt_c,total_tt_b,total_tt_r,total dist car,total dist bus,total dist rad
1.0,3.82,655040,664527.04,9487.04,272511.71,559867.42,249420.86,596689.98,1.37499287e6,611798.09,331247.06,333279.99,0.0,334415.22,335942.89,4.189092788e7,3.03396182e6,7.22407034e6,3.163289573e7,2.27493346e6,5.1683522e6,2.36661888e6
1.0,6.18,655040,660633.02,5593.02,270292.93,560055.49,251451.58,590298.19,1.37690682e6,617746.49,327529.42,333103.61,0.0,330666.48,335689.77,4.250652683e7,3.00623102e6,7.27079276e6,3.222950305e7,2.24943181e6,5.16445799e6,2.39004622e6
1.0,7.64,655040,658338.59,3298.59,268929.11,560159.89,252711.0,586352.75,1.37567496e6,621424.61,325229.77,333108.82,0.0,328348.07,335723.91,4.288948034e7,2.99014615e6,7.29511762e6,3.260421657e7,2.23366035e6,5.16498321e6,2.40451606e6
1.0,8.54,655040,657204.94,2164.94,268089.08,560219.9,253491.02,584036.88,1.37490394e6,623677.49,323822.92,333382.02,0.0,326927.15,336000.04,4.312321441e7,2.98031036e6,7.30588091e6,3.283702314e7,2.22399421e6,5.16923132e6,2.41296834e6
1.0,9.1,655040,655867.78,827.78,267571.0,560255.27,253973.72,582537.93,1.37532716e6,625284.1,322963.06,332904.72,0.0,326063.11,335599.63,4.327510785e7,2.97395544e6,7.32204475e6,3.297910766e7,2.21811642e6,5.16307116e6,2.41910127e6
1.0,9.44,655040,655739.41,699.41,267251.23,560276.47,254272.29,581649.69,1.3754529e6,626035.13,322422.17,333317.24,0.0,325512.27,335971.96,4.336260048e7,2.97043264e6,7.32149871e6,3.307066913e7,2.21436921e6,5.16879941e6,2.42310455e6
1.0,9.35,655040,655840.11,800.11,267334.1,560271.03,254194.87,581865.73,1.3760897e6,625899.83,322528.56,333311.55,0.0,325622.14,335937.15,4.333899366e7,2.97223184e6,7.32120016e6,3.304556165e7,2.21511661e6,5.16826379e6,2.42179294e6
1.0,9.66,655040,655460.39,420.39,267053.76,560289.33,254456.91,581087.37,1.37550521e6,626644.3,322056.68,333403.71,0.0,325147.35,336054.31,4.341947352e7,2.96915809e6,7.32411076e6,3.312620467e7,2.2118867e6,5.17006635e6,2.42475989e6
1.0,9.79,655040,655045.44,5.44,266931.78,560297.18,254571.04,580626.81,1.37665072e6,626976.95,321840.43,333205.01,0.0,324933.13,335852.33,4.345804606e7,2.96775025e6,7.32949942e6,3.316079639e7,2.21042948e6,5.16695891e6,2.42647891e6
1.0,9.87,655040,655097.11,57.11,266856.42,560301.99,254641.59,580388.37,1.37580435e6,627185.75,321807.94,333289.17,0.0,324899.75,335941.83,4.347663819e7,2.96429727e6,7.33038968e6,3.318195124e7,2.21020236e6,5.16833586e6,2.42729662e6
1.0,9.81,655040,655161.37,121.37,266910.64,560298.53,254590.83,580583.94,1.37519318e6,627035.51,321810.05,333351.32,0.0,324895.54,335975.49,4.346217411e7,2.9676824e6,7.32776286e6,3.316672885e7,2.21017374e6,5.16885362e6,2.42670824e6
1.0,9.74,655040,655155.08,115.08,266978.37,560294.19,254527.44,580901.16,1.37699493e6,626847.92,321915.61,333239.47,0.0,325002.13,335771.62,4.344631313e7,2.96867607e6,7.32990997e6,3.314772709e7,2.21089882e6,5.16571728e6,2.4259736e6
1.0,9.77,655040,655275.98,235.98,266949.58,560296.03,254554.39,580984.47,1.37716962e6,626927.66,321939.61,333336.38,0.0,325014.72,335937.43,4.34511271e7,2.96747823e6,7.32784497e6,3.31558039e7,2.21098448e6,5.1682681e6,2.42628589e6
1.0,9.8,655040,655060.48,20.48,266923.71,560297.69,254578.6,580644.79,1.37699593e6,626999.32,321820.71,333239.77,0.0,324909.01,335771.94,4.346197421e7,2.96800857e6,7.33090336e6,3.316306229e7,2.21026537e6,5.16572216e6,2.42656651e6
1.0,9.78,655040,655125.01,85.01,266938.58,560296.74,254564.68,580736.97,1.37580296e6,626958.12,321836.46,333288.55,0.0,324926.61,335941.09,4.345625438e7,2.96846494e6,7.32890008e6,3.315888936e7,2.21038508e6,5.16832451e6,2.42640518e6
1.0,9.79,655040,655038.47,1.53,266928.7,560297.37,254573.93,580738.89,1.37751571e6,626985.49,321863.79,333174.68,0.0,324951.34,335695.13,4.346163229e7,2.96725865e6,7.33271177e6,3.316166187e7,2.21055333e6,5.1645405e6,2.42651237e6
